Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","13.25","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","75.29","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","22.98","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","14.92","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","49.37","Fc","Calculated data"
"FBS","New Food Balances","9","Argentina","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","71.13","Fc","Calculated data"
"FBS","New Food Balances","1","Armenia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","57.51","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","74.22","Fc","Calculated data"
"FBS","New Food Balances","11","Austria","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","92.78","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","37.85","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","43.35","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","6.68","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","47.94","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","59.65","Fc","Calculated data"
"FBS","New Food Balances","255","Belgium","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","83.39","Fc","Calculated data"
"FBS","New Food Balances","23","Belize","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","38.36","Fc","Calculated data"
"FBS","New Food Balances","53","Benin","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","7.18","Fc","Calculated data"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","34.88","Fc","Calculated data"
"FBS","New Food Balances","80","Bosnia and Herzegovina","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","40.42","Fc","Calculated data"
"FBS","New Food Balances","20","Botswana","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","22.01","Fc","Calculated data"
"FBS","New Food Balances","21","Brazil","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","61.92","Fc","Calculated data"
"FBS","New Food Balances","27","Bulgaria","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","51.84","Fc","Calculated data"
"FBS","New Food Balances","233","Burkina Faso","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","9.8","Fc","Calculated data"
"FBS","New Food Balances","35","Cabo Verde","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","30.08","Fc","Calculated data"
"FBS","New Food Balances","115","Cambodia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","12.37","Fc","Calculated data"
"FBS","New Food Balances","32","Cameroon","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","6.78","Fc","Calculated data"
"FBS","New Food Balances","33","Canada","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","70.97","Fc","Calculated data"
"FBS","New Food Balances","37","Central African Republic","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","18.18","Fc","Calculated data"
"FBS","New Food Balances","39","Chad","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","19.25","Fc","Calculated data"
"FBS","New Food Balances","40","Chile","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","57.49","Fc","Calculated data"
"FBS","New Food Balances","351","China","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","59.22","Fc","Calculated data"
"FBS","New Food Balances","96","China, Hong Kong SAR","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","92.97","Fc","Calculated data"
"FBS","New Food Balances","128","China, Macao SAR","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2017","2017","g/capita/day","73.01","Fc","Calculated data"
