Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0.01","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","20","Botswana","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","21","Brazil","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0.09","Fc","Calculated data"
"FBS","New Food Balances","233","Burkina Faso","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","115","Cambodia","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0.05","Fc","Calculated data"
"FBS","New Food Balances","32","Cameroon","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","37","Central African Republic","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","39","Chad","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","351","China","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","96","China, Hong Kong SAR","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","128","China, Macao SAR","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","41","China, mainland","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","214","China, Taiwan Province of","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","44","Colombia","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","46","Congo","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","107","Côte d'Ivoire","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","49","Cuba","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","50","Cyprus","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","116","Democratic People's Republic of Korea","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","54","Denmark","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","55","Dominica","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","56","Dominican Republic","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","58","Ecuador","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","59","Egypt","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0.08","Fc","Calculated data"
"FBS","New Food Balances","238","Ethiopia","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","70","French Polynesia","684","Fat supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
