Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","17.37","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","42.35","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","56.72","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","33.83","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","39.74","Fc","Calculated data"
"FBS","New Food Balances","9","Argentina","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","46.03","Fc","Calculated data"
"FBS","New Food Balances","1","Armenia","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","39.43","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","79.7","Fc","Calculated data"
"FBS","New Food Balances","11","Austria","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","73.94","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","21.07","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","28.36","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","27.27","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","44.81","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","65.58","Fc","Calculated data"
"FBS","New Food Balances","255","Belgium","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","72.55","Fc","Calculated data"
"FBS","New Food Balances","23","Belize","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","42.27","Fc","Calculated data"
"FBS","New Food Balances","53","Benin","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","50.97","Fc","Calculated data"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","22.45","Fc","Calculated data"
"FBS","New Food Balances","80","Bosnia and Herzegovina","684","Fat supply quantity (g/capita/day)","2903","Vegetal Products","2017","2017","g/capita/day","41.58","Fc","Calculated data"
