Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","191","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","1094","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","404","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","213","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","747","Fc","Calculated data"
"FBS","New Food Balances","9","Argentina","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","971","Fc","Calculated data"
"FBS","New Food Balances","1","Armenia","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","790","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","1034","Fc","Calculated data"
"FBS","New Food Balances","11","Austria","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","1153","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","507","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","604","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","123","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","700","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","664","Food supply (kcal/capita/day)","2941","Animal Products","2017","2017","kcal/capita/day","807","Fc","Calculated data"
