Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1484","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1102","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1675","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","833","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","667","Fc","Calculated data"
"FBS","New Food Balances","9","Argentina","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1088","Fc","Calculated data"
"FBS","New Food Balances","1","Armenia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1186","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","771","Fc","Calculated data"
"FBS","New Food Balances","11","Austria","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","914","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1784","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","438","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1948","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","889","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","939","Fc","Calculated data"
"FBS","New Food Balances","255","Belgium","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","983","Fc","Calculated data"
"FBS","New Food Balances","23","Belize","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1020","Fc","Calculated data"
"FBS","New Food Balances","53","Benin","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1018","Fc","Calculated data"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1019","Fc","Calculated data"
"FBS","New Food Balances","80","Bosnia and Herzegovina","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1388","Fc","Calculated data"
"FBS","New Food Balances","20","Botswana","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1048","Fc","Calculated data"
"FBS","New Food Balances","21","Brazil","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","948","Fc","Calculated data"
"FBS","New Food Balances","27","Bulgaria","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1014","Fc","Calculated data"
"FBS","New Food Balances","233","Burkina Faso","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1719","Fc","Calculated data"
"FBS","New Food Balances","35","Cabo Verde","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1198","Fc","Calculated data"
"FBS","New Food Balances","115","Cambodia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1633","Fc","Calculated data"
"FBS","New Food Balances","32","Cameroon","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1089","Fc","Calculated data"
"FBS","New Food Balances","33","Canada","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","910","Fc","Calculated data"
"FBS","New Food Balances","37","Central African Republic","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","315","Fc","Calculated data"
"FBS","New Food Balances","39","Chad","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1162","Fc","Calculated data"
"FBS","New Food Balances","40","Chile","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1179","Fc","Calculated data"
"FBS","New Food Balances","351","China","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1467","Fc","Calculated data"
"FBS","New Food Balances","96","China, Hong Kong SAR","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","956","Fc","Calculated data"
"FBS","New Food Balances","128","China, Macao SAR","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","887","Fc","Calculated data"
"FBS","New Food Balances","41","China, mainland","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1479","Fc","Calculated data"
"FBS","New Food Balances","214","China, Taiwan Province of","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","918","Fc","Calculated data"
"FBS","New Food Balances","44","Colombia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","949","Fc","Calculated data"
"FBS","New Food Balances","46","Congo","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","584","Fc","Calculated data"
"FBS","New Food Balances","48","Costa Rica","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","874","Fc","Calculated data"
"FBS","New Food Balances","107","Côte d'Ivoire","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1028","Fc","Calculated data"
"FBS","New Food Balances","98","Croatia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","880","Fc","Calculated data"
"FBS","New Food Balances","49","Cuba","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1337","Fc","Calculated data"
"FBS","New Food Balances","50","Cyprus","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","805","Fc","Calculated data"
"FBS","New Food Balances","167","Czechia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","747","Fc","Calculated data"
"FBS","New Food Balances","116","Democratic People's Republic of Korea","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1218","Fc","Calculated data"
"FBS","New Food Balances","54","Denmark","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","905","Fc","Calculated data"
"FBS","New Food Balances","72","Djibouti","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1495","Fc","Calculated data"
"FBS","New Food Balances","55","Dominica","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","670","Fc","Calculated data"
"FBS","New Food Balances","56","Dominican Republic","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","762","Fc","Calculated data"
"FBS","New Food Balances","58","Ecuador","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1213","Fc","Calculated data"
"FBS","New Food Balances","59","Egypt","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","2140","Fc","Calculated data"
"FBS","New Food Balances","60","El Salvador","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1203","Fc","Calculated data"
"FBS","New Food Balances","63","Estonia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1052","Fc","Calculated data"
"FBS","New Food Balances","209","Eswatini","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1325","Fc","Calculated data"
"FBS","New Food Balances","238","Ethiopia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1453","Fc","Calculated data"
"FBS","New Food Balances","66","Fiji","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1065","Fc","Calculated data"
"FBS","New Food Balances","67","Finland","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","968","Fc","Calculated data"
"FBS","New Food Balances","68","France","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","989","Fc","Calculated data"
"FBS","New Food Balances","70","French Polynesia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","929","Fc","Calculated data"
"FBS","New Food Balances","74","Gabon","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","952","Fc","Calculated data"
"FBS","New Food Balances","75","Gambia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1366","Fc","Calculated data"
"FBS","New Food Balances","73","Georgia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1470","Fc","Calculated data"
"FBS","New Food Balances","79","Germany","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","882","Fc","Calculated data"
"FBS","New Food Balances","81","Ghana","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","842","Fc","Calculated data"
"FBS","New Food Balances","84","Greece","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","971","Fc","Calculated data"
"FBS","New Food Balances","86","Grenada","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","661","Fc","Calculated data"
"FBS","New Food Balances","89","Guatemala","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1216","Fc","Calculated data"
"FBS","New Food Balances","90","Guinea","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1389","Fc","Calculated data"
"FBS","New Food Balances","175","Guinea-Bissau","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1289","Fc","Calculated data"
"FBS","New Food Balances","91","Guyana","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1229","Fc","Calculated data"
"FBS","New Food Balances","93","Haiti","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","934","Fc","Calculated data"
"FBS","New Food Balances","95","Honduras","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1191","Fc","Calculated data"
"FBS","New Food Balances","97","Hungary","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","882","Fc","Calculated data"
"FBS","New Food Balances","99","Iceland","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","782","Fc","Calculated data"
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1392","Fc","Calculated data"
"FBS","New Food Balances","101","Indonesia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1848","Fc","Calculated data"
"FBS","New Food Balances","102","Iran (Islamic Republic of)","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1636","Fc","Calculated data"
"FBS","New Food Balances","103","Iraq","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1491","Fc","Calculated data"
"FBS","New Food Balances","104","Ireland","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1074","Fc","Calculated data"
"FBS","New Food Balances","105","Israel","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1074","Fc","Calculated data"
"FBS","New Food Balances","106","Italy","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1148","Fc","Calculated data"
"FBS","New Food Balances","109","Jamaica","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","889","Fc","Calculated data"
"FBS","New Food Balances","110","Japan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1059","Fc","Calculated data"
"FBS","New Food Balances","112","Jordan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1199","Fc","Calculated data"
"FBS","New Food Balances","108","Kazakhstan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","938","Fc","Calculated data"
"FBS","New Food Balances","114","Kenya","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1121","Fc","Calculated data"
"FBS","New Food Balances","83","Kiribati","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1039","Fc","Calculated data"
"FBS","New Food Balances","118","Kuwait","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1407","Fc","Calculated data"
"FBS","New Food Balances","113","Kyrgyzstan","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1280","Fc","Calculated data"
"FBS","New Food Balances","120","Lao People's Democratic Republic","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1797","Fc","Calculated data"
"FBS","New Food Balances","119","Latvia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","935","Fc","Calculated data"
"FBS","New Food Balances","121","Lebanon","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1228","Fc","Calculated data"
"FBS","New Food Balances","122","Lesotho","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1579","Fc","Calculated data"
"FBS","New Food Balances","123","Liberia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1078","Fc","Calculated data"
"FBS","New Food Balances","126","Lithuania","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1075","Fc","Calculated data"
"FBS","New Food Balances","256","Luxembourg","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","799","Fc","Calculated data"
"FBS","New Food Balances","129","Madagascar","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1189","Fc","Calculated data"
"FBS","New Food Balances","130","Malawi","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1236","Fc","Calculated data"
"FBS","New Food Balances","131","Malaysia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1252","Fc","Calculated data"
"FBS","New Food Balances","132","Maldives","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1016","Fc","Calculated data"
"FBS","New Food Balances","133","Mali","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1925","Fc","Calculated data"
"FBS","New Food Balances","134","Malta","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1100","Fc","Calculated data"
"FBS","New Food Balances","136","Mauritania","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1513","Fc","Calculated data"
"FBS","New Food Balances","137","Mauritius","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1451","Fc","Calculated data"
"FBS","New Food Balances","138","Mexico","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1403","Fc","Calculated data"
"FBS","New Food Balances","141","Mongolia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","890","Fc","Calculated data"
"FBS","New Food Balances","273","Montenegro","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1122","Fc","Calculated data"
"FBS","New Food Balances","143","Morocco","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1992","Fc","Calculated data"
"FBS","New Food Balances","144","Mozambique","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1012","Fc","Calculated data"
"FBS","New Food Balances","28","Myanmar","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1266","Fc","Calculated data"
"FBS","New Food Balances","147","Namibia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","911","Fc","Calculated data"
"FBS","New Food Balances","149","Nepal","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1761","Fc","Calculated data"
"FBS","New Food Balances","150","Netherlands","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","746","Fc","Calculated data"
"FBS","New Food Balances","153","New Caledonia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","878","Fc","Calculated data"
"FBS","New Food Balances","156","New Zealand","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","914","Fc","Calculated data"
"FBS","New Food Balances","157","Nicaragua","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1319","Fc","Calculated data"
"FBS","New Food Balances","158","Niger","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1602","Fc","Calculated data"
"FBS","New Food Balances","159","Nigeria","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1064","Fc","Calculated data"
"FBS","New Food Balances","154","North Macedonia","664","Food supply (kcal/capita/day)","2905","Cereals - Excluding Beer","2017","2017","kcal/capita/day","1001","Fc","Calculated data"
