Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","98","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","676","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","267","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","23","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","228","Fc","Calculated data"
"FBS","New Food Balances","9","Argentina","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","205","Fc","Calculated data"
"FBS","New Food Balances","1","Armenia","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","347","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","318","Fc","Calculated data"
"FBS","New Food Balances","11","Austria","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","299","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","197","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","122","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","40","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","182","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","144","Fc","Calculated data"
"FBS","New Food Balances","255","Belgium","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","349","Fc","Calculated data"
"FBS","New Food Balances","23","Belize","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","102","Fc","Calculated data"
"FBS","New Food Balances","53","Benin","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","29","Fc","Calculated data"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","77","Fc","Calculated data"
"FBS","New Food Balances","80","Bosnia and Herzegovina","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","319","Fc","Calculated data"
"FBS","New Food Balances","20","Botswana","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","219","Fc","Calculated data"
"FBS","New Food Balances","21","Brazil","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","243","Fc","Calculated data"
"FBS","New Food Balances","27","Bulgaria","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","248","Fc","Calculated data"
"FBS","New Food Balances","233","Burkina Faso","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","2017","2017","kcal/capita/day","55","Fc","Calculated data"
