Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","20","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","55","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","73","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","68","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","22","Fc","Calculated data"
"FBS","New Food Balances","9","Argentina","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","8","Fc","Calculated data"
"FBS","New Food Balances","1","Armenia","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","27","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","9","Fc","Calculated data"
"FBS","New Food Balances","11","Austria","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","8","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","5","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","5","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","64","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","73","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","255","Belgium","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","22","Fc","Calculated data"
"FBS","New Food Balances","23","Belize","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","123","Fc","Calculated data"
"FBS","New Food Balances","53","Benin","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","91","Fc","Calculated data"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","43","Fc","Calculated data"
"FBS","New Food Balances","80","Bosnia and Herzegovina","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","51","Fc","Calculated data"
"FBS","New Food Balances","20","Botswana","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","27","Fc","Calculated data"
"FBS","New Food Balances","21","Brazil","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","132","Fc","Calculated data"
"FBS","New Food Balances","27","Bulgaria","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","20","Fc","Calculated data"
"FBS","New Food Balances","233","Burkina Faso","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","132","Fc","Calculated data"
"FBS","New Food Balances","35","Cabo Verde","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","111","Fc","Calculated data"
"FBS","New Food Balances","115","Cambodia","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","46","Fc","Calculated data"
"FBS","New Food Balances","32","Cameroon","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","189","Fc","Calculated data"
"FBS","New Food Balances","33","Canada","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","110","Fc","Calculated data"
"FBS","New Food Balances","37","Central African Republic","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","80","Fc","Calculated data"
"FBS","New Food Balances","39","Chad","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","85","Fc","Calculated data"
"FBS","New Food Balances","40","Chile","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","35","Fc","Calculated data"
"FBS","New Food Balances","351","China","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","13","Fc","Calculated data"
"FBS","New Food Balances","96","China, Hong Kong SAR","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","10","Fc","Calculated data"
"FBS","New Food Balances","128","China, Macao SAR","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","10","Fc","Calculated data"
"FBS","New Food Balances","41","China, mainland","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","13","Fc","Calculated data"
"FBS","New Food Balances","214","China, Taiwan Province of","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","25","Fc","Calculated data"
"FBS","New Food Balances","44","Colombia","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","51","Fc","Calculated data"
"FBS","New Food Balances","46","Congo","664","Food supply (kcal/capita/day)","2911","Pulses","2017","2017","kcal/capita/day","28","Fc","Calculated data"
