Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","10","Australia","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","1","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","20","Botswana","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","21","Brazil","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","12","Fc","Calculated data"
"FBS","New Food Balances","115","Cambodia","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","7","Fc","Calculated data"
"FBS","New Food Balances","351","China","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","96","China, Hong Kong SAR","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","128","China, Macao SAR","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","1","Fc","Calculated data"
"FBS","New Food Balances","41","China, mainland","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","214","China, Taiwan Province of","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","3","Fc","Calculated data"
"FBS","New Food Balances","44","Colombia","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","1","Fc","Calculated data"
"FBS","New Food Balances","49","Cuba","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","50","Cyprus","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","54","Denmark","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","55","Dominica","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","56","Dominican Republic","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","59","Egypt","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","23","Fc","Calculated data"
"FBS","New Food Balances","70","French Polynesia","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","8","Fc","Calculated data"
"FBS","New Food Balances","74","Gabon","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","1","Fc","Calculated data"
"FBS","New Food Balances","75","Gambia","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","79","Germany","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","81","Ghana","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","4","Fc","Calculated data"
"FBS","New Food Balances","89","Guatemala","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","97","Hungary","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","99","Iceland","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","102","Iran (Islamic Republic of)","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","110","Japan","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","5","Fc","Calculated data"
"FBS","New Food Balances","108","Kazakhstan","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","83","Kiribati","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","118","Kuwait","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","120","Lao People's Democratic Republic","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","27","Fc","Calculated data"
"FBS","New Food Balances","121","Lebanon","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","123","Liberia","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","7","Fc","Calculated data"
"FBS","New Food Balances","256","Luxembourg","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","129","Madagascar","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","4","Fc","Calculated data"
"FBS","New Food Balances","131","Malaysia","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","132","Maldives","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","2","Fc","Calculated data"
"FBS","New Food Balances","147","Namibia","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","149","Nepal","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","34","Fc","Calculated data"
"FBS","New Food Balances","156","New Zealand","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","162","Norway","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","221","Oman","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","165","Pakistan","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","13","Fc","Calculated data"
"FBS","New Food Balances","117","Republic of Korea","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","146","Republic of Moldova","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","183","Romania","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","185","Russian Federation","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","244","Samoa","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","194","Saudi Arabia","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","272","Serbia","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","276","Sudan","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","6","Fc","Calculated data"
"FBS","New Food Balances","207","Suriname","664","Food supply (kcal/capita/day)","2908","Sugar Crops","2017","2017","kcal/capita/day","3","Fc","Calculated data"
