Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","1809","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2305","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2945","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2057","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","1683","Fc","Calculated data"
"FBS","New Food Balances","9","Argentina","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2267","Fc","Calculated data"
"FBS","New Food Balances","1","Armenia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2288","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2277","Fc","Calculated data"
"FBS","New Food Balances","11","Austria","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2540","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2596","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","1439","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2473","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2196","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2482","Fc","Calculated data"
"FBS","New Food Balances","255","Belgium","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2701","Fc","Calculated data"
"FBS","New Food Balances","23","Belize","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2204","Fc","Calculated data"
"FBS","New Food Balances","53","Benin","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2619","Fc","Calculated data"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","1881","Fc","Calculated data"
"FBS","New Food Balances","80","Bosnia and Herzegovina","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2677","Fc","Calculated data"
"FBS","New Food Balances","20","Botswana","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","1960","Fc","Calculated data"
"FBS","New Food Balances","21","Brazil","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2391","Fc","Calculated data"
"FBS","New Food Balances","27","Bulgaria","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2133","Fc","Calculated data"
"FBS","New Food Balances","233","Burkina Faso","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2567","Fc","Calculated data"
"FBS","New Food Balances","35","Cabo Verde","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2086","Fc","Calculated data"
"FBS","New Food Balances","115","Cambodia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2272","Fc","Calculated data"
"FBS","New Food Balances","32","Cameroon","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2538","Fc","Calculated data"
"FBS","New Food Balances","33","Canada","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2605","Fc","Calculated data"
"FBS","New Food Balances","37","Central African Republic","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","1498","Fc","Calculated data"
"FBS","New Food Balances","39","Chad","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","1800","Fc","Calculated data"
"FBS","New Food Balances","40","Chile","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2267","Fc","Calculated data"
"FBS","New Food Balances","351","China","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2468","Fc","Calculated data"
"FBS","New Food Balances","96","China, Hong Kong SAR","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","1998","Fc","Calculated data"
"FBS","New Food Balances","128","China, Macao SAR","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","1993","Fc","Calculated data"
"FBS","New Food Balances","41","China, mainland","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2473","Fc","Calculated data"
"FBS","New Food Balances","214","China, Taiwan Province of","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2324","Fc","Calculated data"
"FBS","New Food Balances","44","Colombia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2546","Fc","Calculated data"
"FBS","New Food Balances","46","Congo","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2079","Fc","Calculated data"
"FBS","New Food Balances","48","Costa Rica","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2331","Fc","Calculated data"
"FBS","New Food Balances","107","Côte d'Ivoire","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2612","Fc","Calculated data"
"FBS","New Food Balances","98","Croatia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2178","Fc","Calculated data"
"FBS","New Food Balances","49","Cuba","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2891","Fc","Calculated data"
"FBS","New Food Balances","50","Cyprus","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","1943","Fc","Calculated data"
"FBS","New Food Balances","167","Czechia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2357","Fc","Calculated data"
"FBS","New Food Balances","116","Democratic People's Republic of Korea","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","1905","Fc","Calculated data"
"FBS","New Food Balances","54","Denmark","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2183","Fc","Calculated data"
"FBS","New Food Balances","72","Djibouti","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2481","Fc","Calculated data"
"FBS","New Food Balances","55","Dominica","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2300","Fc","Calculated data"
"FBS","New Food Balances","56","Dominican Republic","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2367","Fc","Calculated data"
"FBS","New Food Balances","58","Ecuador","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2082","Fc","Calculated data"
"FBS","New Food Balances","59","Egypt","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","3042","Fc","Calculated data"
"FBS","New Food Balances","60","El Salvador","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2235","Fc","Calculated data"
"FBS","New Food Balances","63","Estonia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2250","Fc","Calculated data"
"FBS","New Food Balances","209","Eswatini","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2136","Fc","Calculated data"
"FBS","New Food Balances","238","Ethiopia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2210","Fc","Calculated data"
"FBS","New Food Balances","66","Fiji","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2438","Fc","Calculated data"
"FBS","New Food Balances","67","Finland","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2054","Fc","Calculated data"
"FBS","New Food Balances","68","France","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2349","Fc","Calculated data"
"FBS","New Food Balances","70","French Polynesia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2043","Fc","Calculated data"
"FBS","New Food Balances","74","Gabon","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2263","Fc","Calculated data"
"FBS","New Food Balances","75","Gambia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2351","Fc","Calculated data"
"FBS","New Food Balances","73","Georgia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2365","Fc","Calculated data"
"FBS","New Food Balances","79","Germany","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2463","Fc","Calculated data"
"FBS","New Food Balances","81","Ghana","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2904","Fc","Calculated data"
"FBS","New Food Balances","84","Greece","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2585","Fc","Calculated data"
"FBS","New Food Balances","86","Grenada","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","1814","Fc","Calculated data"
"FBS","New Food Balances","89","Guatemala","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2266","Fc","Calculated data"
"FBS","New Food Balances","90","Guinea","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2660","Fc","Calculated data"
"FBS","New Food Balances","175","Guinea-Bissau","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2079","Fc","Calculated data"
"FBS","New Food Balances","91","Guyana","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2365","Fc","Calculated data"
"FBS","New Food Balances","93","Haiti","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2000","Fc","Calculated data"
"FBS","New Food Balances","95","Honduras","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2208","Fc","Calculated data"
"FBS","New Food Balances","97","Hungary","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2230","Fc","Calculated data"
"FBS","New Food Balances","99","Iceland","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2010","Fc","Calculated data"
"FBS","New Food Balances","100","India","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2237","Fc","Calculated data"
"FBS","New Food Balances","101","Indonesia","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2697","Fc","Calculated data"
"FBS","New Food Balances","102","Iran (Islamic Republic of)","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2755","Fc","Calculated data"
"FBS","New Food Balances","103","Iraq","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2298","Fc","Calculated data"
"FBS","New Food Balances","104","Ireland","664","Food supply (kcal/capita/day)","2903","Vegetal Products","2017","2017","kcal/capita/day","2675","Fc","Calculated data"
