Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","664","Food supply (kcal/capita/day)","2914","Vegetable Oils","2017","2017","kcal/capita/day","92","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","664","Food supply (kcal/capita/day)","2914","Vegetable Oils","2017","2017","kcal/capita/day","192","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","664","Food supply (kcal/capita/day)","2914","Vegetable Oils","2017","2017","kcal/capita/day","386","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","664","Food supply (kcal/capita/day)","2914","Vegetable Oils","2017","2017","kcal/capita/day","194","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2914","Vegetable Oils","2017","2017","kcal/capita/day","228","Fc","Calculated data"
"FBS","New Food Balances","9","Argentina","664","Food supply (kcal/capita/day)","2914","Vegetable Oils","2017","2017","kcal/capita/day","359","Fc","Calculated data"
"FBS","New Food Balances","1","Armenia","664","Food supply (kcal/capita/day)","2914","Vegetable Oils","2017","2017","kcal/capita/day","220","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","664","Food supply (kcal/capita/day)","2914","Vegetable Oils","2017","2017","kcal/capita/day","555","Fc","Calculated data"
"FBS","New Food Balances","11","Austria","664","Food supply (kcal/capita/day)","2914","Vegetable Oils","2017","2017","kcal/capita/day","529","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","664","Food supply (kcal/capita/day)","2914","Vegetable Oils","2017","2017","kcal/capita/day","75","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","664","Food supply (kcal/capita/day)","2914","Vegetable Oils","2017","2017","kcal/capita/day","129","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","664","Food supply (kcal/capita/day)","2914","Vegetable Oils","2017","2017","kcal/capita/day","178","Fc","Calculated data"
