Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","0.01","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","42.15","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","4.33","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","66.33","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","45.29","Fc","Calculated data"
"FBS","New Food Balances","9","Argentina","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","66.28","Fc","Calculated data"
"FBS","New Food Balances","1","Armenia","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","8.08","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","100.54","Fc","Calculated data"
"FBS","New Food Balances","11","Austria","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","130.83","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","56.98","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","22.82","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","0.03","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","43.51","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","73.04","Fc","Calculated data"
"FBS","New Food Balances","255","Belgium","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","109.17","Fc","Calculated data"
"FBS","New Food Balances","23","Belize","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","39.81","Fc","Calculated data"
"FBS","New Food Balances","53","Benin","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","84.68","Fc","Calculated data"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","32.25","Fc","Calculated data"
"FBS","New Food Balances","80","Bosnia and Herzegovina","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","94.96","Fc","Calculated data"
"FBS","New Food Balances","20","Botswana","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","45.71","Fc","Calculated data"
"FBS","New Food Balances","21","Brazil","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","67.23","Fc","Calculated data"
"FBS","New Food Balances","27","Bulgaria","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","103.07","Fc","Calculated data"
"FBS","New Food Balances","233","Burkina Faso","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","153.34","Fc","Calculated data"
"FBS","New Food Balances","35","Cabo Verde","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","41.7","Fc","Calculated data"
"FBS","New Food Balances","115","Cambodia","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","46.13","Fc","Calculated data"
"FBS","New Food Balances","32","Cameroon","645","Food supply quantity (kg/capita/yr)","2924","Alcoholic Beverages","2017","2017","kg","70.51","Fc","Calculated data"
