Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","8.59","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","47.51","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","18.06","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","23.49","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","72.04","Fc","Calculated data"
"FBS","New Food Balances","9","Argentina","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","109.38","Fc","Calculated data"
"FBS","New Food Balances","1","Armenia","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","45.64","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","121.6","Fc","Calculated data"
"FBS","New Food Balances","11","Austria","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","87.22","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","34.08","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","67.04","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","4.04","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","71.37","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","81.46","Fc","Calculated data"
"FBS","New Food Balances","255","Belgium","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","65.77","Fc","Calculated data"
"FBS","New Food Balances","23","Belize","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","41.09","Fc","Calculated data"
"FBS","New Food Balances","53","Benin","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","20.24","Fc","Calculated data"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","71.39","Fc","Calculated data"
"FBS","New Food Balances","80","Bosnia and Herzegovina","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","36.03","Fc","Calculated data"
"FBS","New Food Balances","20","Botswana","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","24.44","Fc","Calculated data"
"FBS","New Food Balances","21","Brazil","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","99.83","Fc","Calculated data"
"FBS","New Food Balances","27","Bulgaria","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","58.31","Fc","Calculated data"
"FBS","New Food Balances","233","Burkina Faso","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","12","Fc","Calculated data"
"FBS","New Food Balances","35","Cabo Verde","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","32.18","Fc","Calculated data"
"FBS","New Food Balances","115","Cambodia","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","12.34","Fc","Calculated data"
"FBS","New Food Balances","32","Cameroon","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","11.98","Fc","Calculated data"
"FBS","New Food Balances","33","Canada","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","82.62","Fc","Calculated data"
"FBS","New Food Balances","37","Central African Republic","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","35.9","Fc","Calculated data"
"FBS","New Food Balances","39","Chad","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","26.48","Fc","Calculated data"
"FBS","New Food Balances","40","Chile","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","83.16","Fc","Calculated data"
"FBS","New Food Balances","351","China","645","Food supply quantity (kg/capita/yr)","2943","Meat","2017","2017","kg","60.59","Fc","Calculated data"
