Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","2.11","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","6","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","7.64","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","7.43","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","2.33","Fc","Calculated data"
"FBS","New Food Balances","9","Argentina","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","0.82","Fc","Calculated data"
"FBS","New Food Balances","1","Armenia","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","2.9","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","0.99","Fc","Calculated data"
"FBS","New Food Balances","11","Austria","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","0.85","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","0.55","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","0.57","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","6.81","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","7.8","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","0.02","Fc","Calculated data"
"FBS","New Food Balances","255","Belgium","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","2.3","Fc","Calculated data"
"FBS","New Food Balances","23","Belize","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","13.26","Fc","Calculated data"
"FBS","New Food Balances","53","Benin","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","10.57","Fc","Calculated data"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","4.07","Fc","Calculated data"
"FBS","New Food Balances","80","Bosnia and Herzegovina","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","5.39","Fc","Calculated data"
"FBS","New Food Balances","20","Botswana","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","2.92","Fc","Calculated data"
"FBS","New Food Balances","21","Brazil","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","14.26","Fc","Calculated data"
"FBS","New Food Balances","27","Bulgaria","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","2.2","Fc","Calculated data"
"FBS","New Food Balances","233","Burkina Faso","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","14.26","Fc","Calculated data"
"FBS","New Food Balances","35","Cabo Verde","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","11.93","Fc","Calculated data"
"FBS","New Food Balances","115","Cambodia","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","4.94","Fc","Calculated data"
"FBS","New Food Balances","32","Cameroon","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","20.15","Fc","Calculated data"
"FBS","New Food Balances","33","Canada","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","11.65","Fc","Calculated data"
"FBS","New Food Balances","37","Central African Republic","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","8.59","Fc","Calculated data"
"FBS","New Food Balances","39","Chad","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","9.71","Fc","Calculated data"
"FBS","New Food Balances","40","Chile","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","3.62","Fc","Calculated data"
"FBS","New Food Balances","351","China","645","Food supply quantity (kg/capita/yr)","2911","Pulses","2017","2017","kg","1.37","Fc","Calculated data"
