Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","9.64","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","38.74","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","29.3","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","21.12","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","49.07","Fc","Calculated data"
"FBS","New Food Balances","9","Argentina","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","47.43","Fc","Calculated data"
"FBS","New Food Balances","1","Armenia","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","53.5","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","46","Fc","Calculated data"
"FBS","New Food Balances","11","Austria","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","48.62","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","24.59","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","70.3","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","8.95","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","52.9","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","78.08","Fc","Calculated data"
"FBS","New Food Balances","255","Belgium","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","74.19","Fc","Calculated data"
"FBS","New Food Balances","23","Belize","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","46.87","Fc","Calculated data"
"FBS","New Food Balances","53","Benin","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","9.52","Fc","Calculated data"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","28.65","Fc","Calculated data"
"FBS","New Food Balances","80","Bosnia and Herzegovina","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","32.51","Fc","Calculated data"
"FBS","New Food Balances","20","Botswana","645","Food supply quantity (kg/capita/yr)","2909","Sugar & Sweeteners","2017","2017","kg","51.21","Fc","Calculated data"
