Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","0.21","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.12","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.72","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","5.62","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","0.76","Fc","Calculated data"
"FBS","New Food Balances","9","Argentina","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.69","Fc","Calculated data"
"FBS","New Food Balances","1","Armenia","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","1.79","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.15","Fc","Calculated data"
"FBS","New Food Balances","11","Austria","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.26","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","3.26","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","0.45","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.36","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.54","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","7.82","Fc","Calculated data"
"FBS","New Food Balances","255","Belgium","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","3.92","Fc","Calculated data"
"FBS","New Food Balances","23","Belize","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","0.55","Fc","Calculated data"
"FBS","New Food Balances","53","Benin","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","10.03","Fc","Calculated data"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","4.76","Fc","Calculated data"
"FBS","New Food Balances","80","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","3.52","Fc","Calculated data"
"FBS","New Food Balances","20","Botswana","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.27","Fc","Calculated data"
"FBS","New Food Balances","21","Brazil","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","1.57","Fc","Calculated data"
"FBS","New Food Balances","27","Bulgaria","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","1.16","Fc","Calculated data"
"FBS","New Food Balances","233","Burkina Faso","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","0.38","Fc","Calculated data"
"FBS","New Food Balances","35","Cabo Verde","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","1.48","Fc","Calculated data"
"FBS","New Food Balances","115","Cambodia","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","0.66","Fc","Calculated data"
"FBS","New Food Balances","32","Cameroon","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","4.62","Fc","Calculated data"
"FBS","New Food Balances","33","Canada","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.79","Fc","Calculated data"
"FBS","New Food Balances","37","Central African Republic","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","7.22","Fc","Calculated data"
"FBS","New Food Balances","39","Chad","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","1.57","Fc","Calculated data"
"FBS","New Food Balances","40","Chile","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","3.24","Fc","Calculated data"
"FBS","New Food Balances","351","China","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.66","Fc","Calculated data"
"FBS","New Food Balances","96","China, Hong Kong SAR","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","0.27","Fc","Calculated data"
"FBS","New Food Balances","128","China, Macao SAR","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","0.59","Fc","Calculated data"
"FBS","New Food Balances","41","China, mainland","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.71","Fc","Calculated data"
"FBS","New Food Balances","214","China, Taiwan Province of","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","0.41","Fc","Calculated data"
"FBS","New Food Balances","44","Colombia","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.61","Fc","Calculated data"
"FBS","New Food Balances","46","Congo","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","5.56","Fc","Calculated data"
"FBS","New Food Balances","48","Costa Rica","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","0.99","Fc","Calculated data"
"FBS","New Food Balances","107","Côte d'Ivoire","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","11.2","Fc","Calculated data"
"FBS","New Food Balances","98","Croatia","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","1.62","Fc","Calculated data"
"FBS","New Food Balances","49","Cuba","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.2","Fc","Calculated data"
"FBS","New Food Balances","50","Cyprus","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","0.87","Fc","Calculated data"
"FBS","New Food Balances","167","Czechia","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.74","Fc","Calculated data"
"FBS","New Food Balances","116","Democratic People's Republic of Korea","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.6","Fc","Calculated data"
"FBS","New Food Balances","54","Denmark","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.2","Fc","Calculated data"
"FBS","New Food Balances","72","Djibouti","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","0.7","Fc","Calculated data"
"FBS","New Food Balances","55","Dominica","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","5.15","Fc","Calculated data"
"FBS","New Food Balances","56","Dominican Republic","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","1.08","Fc","Calculated data"
"FBS","New Food Balances","58","Ecuador","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","1.14","Fc","Calculated data"
"FBS","New Food Balances","59","Egypt","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","1.29","Fc","Calculated data"
"FBS","New Food Balances","60","El Salvador","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","1.13","Fc","Calculated data"
"FBS","New Food Balances","63","Estonia","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.92","Fc","Calculated data"
"FBS","New Food Balances","209","Eswatini","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.45","Fc","Calculated data"
"FBS","New Food Balances","238","Ethiopia","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","3.08","Fc","Calculated data"
"FBS","New Food Balances","66","Fiji","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","4.11","Fc","Calculated data"
"FBS","New Food Balances","67","Finland","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.62","Fc","Calculated data"
"FBS","New Food Balances","68","France","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","2.19","Fc","Calculated data"
"FBS","New Food Balances","70","French Polynesia","674","Protein supply quantity (g/capita/day)","2907","Starchy Roots","2017","2017","g/capita/day","1.77","Fc","Calculated data"
