Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0.01","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","20","Botswana","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","21","Brazil","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0.04","Fc","Calculated data"
"FBS","New Food Balances","233","Burkina Faso","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","115","Cambodia","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0.02","Fc","Calculated data"
"FBS","New Food Balances","32","Cameroon","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","37","Central African Republic","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","39","Chad","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","351","China","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","96","China, Hong Kong SAR","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","128","China, Macao SAR","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0.01","Fc","Calculated data"
"FBS","New Food Balances","41","China, mainland","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","214","China, Taiwan Province of","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0.02","Fc","Calculated data"
"FBS","New Food Balances","44","Colombia","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0.02","Fc","Calculated data"
"FBS","New Food Balances","46","Congo","674","Protein supply quantity (g/capita/day)","2908","Sugar Crops","2017","2017","g/capita/day","0","Fc","Calculated data"
