Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0.02","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0.05","Fc","Calculated data"
"FBS","New Food Balances","7","Angola","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0.01","Fc","Calculated data"
"FBS","New Food Balances","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0.07","Fc","Calculated data"
"FBS","New Food Balances","9","Argentina","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","1","Armenia","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0.04","Fc","Calculated data"
"FBS","New Food Balances","10","Australia","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0.1","Fc","Calculated data"
"FBS","New Food Balances","11","Austria","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0.14","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0.04","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0.04","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0.05","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0.04","Fc","Calculated data"
"FBS","New Food Balances","255","Belgium","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0.23","Fc","Calculated data"
"FBS","New Food Balances","23","Belize","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0.05","Fc","Calculated data"
"FBS","New Food Balances","53","Benin","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0","Fc","Calculated data"
"FBS","New Food Balances","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0.02","Fc","Calculated data"
"FBS","New Food Balances","80","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0.03","Fc","Calculated data"
"FBS","New Food Balances","20","Botswana","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0.02","Fc","Calculated data"
"FBS","New Food Balances","21","Brazil","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0.04","Fc","Calculated data"
"FBS","New Food Balances","27","Bulgaria","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0.04","Fc","Calculated data"
"FBS","New Food Balances","233","Burkina Faso","674","Protein supply quantity (g/capita/day)","2914","Vegetable Oils","2017","2017","g/capita/day","0","Fc","Calculated data"
