Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2017","2017","kg","2.61","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2732","Mutton & Goat Meat","2017","2017","kg","4.15","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2017","2017","kg","1.53","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2735","Meat, Other","2017","2017","kg","0.3","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2736","Offals, Edible","2017","2017","kg","1.47","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2740","Butter, Ghee","2017","2017","kg","1.01","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2743","Cream","2017","2017","kg","0.01","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2737","Fats, Animals, Raw","2017","2017","kg","0.4","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2744","Eggs","2017","2017","kg","1.5","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2848","Milk - Excluding Butter","2017","2017","kg","54.19","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2761","Freshwater Fish","2017","2017","kg","0.25","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2017","2017","kg","14.67","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2732","Mutton & Goat Meat","2017","2017","kg","9.11","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2017","2017","kg","7.2","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2017","2017","kg","16.36","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2735","Meat, Other","2017","2017","kg","0.17","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2736","Offals, Edible","2017","2017","kg","5.86","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2740","Butter, Ghee","2017","2017","kg","1.81","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2743","Cream","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2737","Fats, Animals, Raw","2017","2017","kg","1.62","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2781","Fish, Body Oil","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2782","Fish, Liver Oil","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2744","Eggs","2017","2017","kg","14.66","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2848","Milk - Excluding Butter","2017","2017","kg","396.34","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2761","Freshwater Fish","2017","2017","kg","0.83","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2762","Demersal Fish","2017","2017","kg","1.08","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2763","Pelagic Fish","2017","2017","kg","1.58","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2764","Marine Fish, Other","2017","2017","kg","0.74","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2765","Crustaceans","2017","2017","kg","0.35","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2766","Cephalopods","2017","2017","kg","0.41","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2767","Molluscs, Other","2017","2017","kg","0.37","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2769","Aquatic Animals, Others","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","3","Albania","645","Food supply quantity (kg/capita/yr)","2775","Aquatic Plants","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","645","Food supply quantity (kg/capita/yr)","2731","Bovine Meat","2017","2017","kg","4.63","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","645","Food supply quantity (kg/capita/yr)","2732","Mutton & Goat Meat","2017","2017","kg","6.69","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","645","Food supply quantity (kg/capita/yr)","2733","Pigmeat","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","4","Algeria","645","Food supply quantity (kg/capita/yr)","2734","Poultry Meat","2017","2017","kg","6.38","Fc","Calculated data"
