Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2511","Wheat and products","2017","2017","kg","155.39","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2805","Rice (Milled Equivalent)","2017","2017","kg","19.77","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2513","Barley and products","2017","2017","kg","0.51","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2514","Maize and products","2017","2017","kg","1.38","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2515","Rye and products","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2516","Oats","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2517","Millet and products","2017","2017","kg","0.26","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2520","Cereals, Other","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2531","Potatoes and products","2017","2017","kg","6.29","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2536","Sugar cane","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2542","Sugar (Raw Equivalent)","2017","2017","kg","9.12","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2543","Sweeteners, Other","2017","2017","kg","0.48","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2745","Honey","2017","2017","kg","0.04","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2549","Pulses, Other and products","2017","2017","kg","2.11","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2551","Nuts and products","2017","2017","kg","0.55","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2555","Soyabeans","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2556","Groundnuts (Shelled Eq)","2017","2017","kg","0.03","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2560","Coconuts - Incl Copra","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2561","Sesame seed","2017","2017","kg","0.4","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2563","Olives (including preserved)","2017","2017","kg","0.07","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2571","Soyabean Oil","2017","2017","kg","0.3","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2572","Groundnut Oil","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2573","Sunflowerseed Oil","2017","2017","kg","1.47","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2574","Rape and Mustard Oil","2017","2017","kg","0.06","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2575","Cottonseed Oil","2017","2017","kg","0.1","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2576","Palmkernel Oil","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2577","Palm Oil","2017","2017","kg","1.84","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2578","Coconut Oil","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2579","Sesameseed Oil","2017","2017","kg","0.02","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2580","Olive Oil","2017","2017","kg","0.02","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2581","Ricebran Oil","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2582","Maize Germ Oil","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2586","Oilcrops Oil, Other","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2601","Tomatoes and products","2017","2017","kg","0","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2602","Onions","2017","2017","kg","5.88","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2605","Vegetables, Other","2017","2017","kg","42.46","Fc","Calculated data"
"FBS","New Food Balances","2","Afghanistan","645","Food supply quantity (kg/capita/yr)","2611","Oranges, Mandarines","2017","2017","kg","3.18","Fc","Calculated data"
